ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
N1437,1.15,4.02,7.47,5.17,5.17,8.05,2.87,3.45,1.15,7.47,4.02,3.45,4.6,5.75,11.49,7.47,2.87,3.45,2.3,8.62
,,,,,,,,,,,,,,,,,,,,
N1441,11,0.69,6.19,4.47,3.44,6.87,2.41,4.81,3.09,5.84,2.41,4.81,4.12,6.19,1.72,11,9.28,5.5,1.72,4.47
,,,,,,,,,,,,,,,,,,,,
N1447,2.22,0,4.44,5,3.89,7.78,6.67,6.67,7.78,2.78,1.11,10,1.67,5.56,1.11,10.56,10.56,6.11,1.11,5
,,,,,,,,,,,,,,,,,,,,
N1451,8.36,1.82,6.18,8,4,6.55,2.18,7.27,6.55,12.73,1.82,8.36,4,3.27,3.27,5.82,2.91,4.36,1.45,1.09
,,,,,,,,,,,,,,,,,,,,
N1457,4.39,5.26,4.39,3.07,1.75,9.21,2.19,2.19,3.07,7.46,0.44,4.82,8.77,3.51,5.26,10.09,8.33,5.7,5.7,4.39
,,,,,,,,,,,,,,,,,,,,
N1462,9.68,6.45,4.03,4.03,2.42,2.42,3.23,2.42,8.06,1.61,3.23,8.06,3.23,5.65,3.23,12.1,8.06,7.26,0,4.84
,,,,,,,,,,,,,,,,,,,,
N1466,10.45,2.24,4.85,1.87,2.61,13.43,2.24,3.36,1.87,4.85,1.12,6.34,5.22,3.36,4.48,11.94,8.96,5.22,2.61,2.99
,,,,,,,,,,,,,,,,,,,,
N1472,9.59,2.33,5.81,4.07,5.23,11.05,1.16,4.94,1.16,8.14,2.03,3.78,8.43,4.07,4.36,11.05,5.81,5.52,0.58,0.87
,,,,,,,,,,,,,,,,,,,,
N1479,7.33,2,7.33,10.67,5.33,3.33,5.33,2.67,9.33,8,2,4,4,3.33,6.67,2,6.67,3.33,2,4.67
,,,,,,,,,,,,,,,,,,,,
N1483,7.55,1.26,8.18,7.55,1.89,5.03,5.03,8.18,13.84,5.66,3.77,3.14,1.89,3.77,2.52,5.03,5.03,9.43,0,1.26
,,,,,,,,,,,,,,,,,,,,
N1487,7.04,1.41,3.52,7.75,3.52,7.04,1.41,2.82,3.52,9.86,0,3.52,4.23,5.63,6.34,7.75,7.04,15.49,0.7,1.41
,,,,,,,,,,,,,,,,,,,,
N1491,10.04,2.87,5.33,3.89,4.51,11.27,3.69,1.64,1.64,12.91,1.84,1.64,10.04,3.69,4.51,5.74,5.94,4.92,0.61,3.28
,,,,,,,,,,,,,,,,,,,,
N1501,8.01,0.63,6.75,7.22,4.71,8.95,2.51,5.49,2.04,7.06,1.1,3.61,6.12,2.67,7.54,6.28,6.28,8.32,1.88,2.83
,,,,,,,,,,,,,,,,,,,,
N1513,7.97,0.68,5.24,9.57,3.42,7.74,3.19,6.38,2.96,8.88,2.51,3.64,4.1,4.1,7.52,4.78,4.56,7.74,0.91,4.1
,,,,,,,,,,,,,,,,,,,,
N1522,19.86,0.71,5.67,3.55,7.09,11.35,1.42,1.42,7.8,6.38,4.26,4.26,2.13,3.55,1.42,7.09,3.55,4.96,2.84,0.71
,,,,,,,,,,,,,,,,,,,,
N1526,3.49,2.91,8.14,6.98,2.91,5.81,1.74,1.74,5.23,14.53,5.23,2.91,2.91,8.72,5.23,5.81,5.81,4.65,1.16,4.07
,,,,,,,,,,,,,,,,,,,,
N1530,7.74,3.14,8.16,8.79,2.3,8.79,2.3,5.23,9.21,6.07,1.88,3.56,4.81,2.51,5.23,4.6,5.86,5.86,0.84,3.14
,,,,,,,,,,,,,,,,,,,,
N1539,7.64,0.73,5.64,6,5.45,8.18,2.55,6.91,7.27,9.45,2.55,3.45,5.27,2.91,3.64,5.27,5.27,8,0.36,3.45
,,,,,,,,,,,,,,,,,,,,
N1550,4.35,0.87,6.09,8.7,4.35,9.57,7.83,0.87,4.35,6.96,3.48,3.48,5.22,6.09,3.48,6.09,6.96,8.7,1.74,0.87
,,,,,,,,,,,,,,,,,,,,
N1553,12.82,0,7.69,4.49,2.56,9.62,5.13,1.92,1.92,14.1,1.92,1.92,3.85,5.13,7.69,4.49,5.77,8.97,0,0
,,,,,,,,,,,,,,,,,,,,
N1557,6.25,1.25,5,10,3.75,7.5,1.25,8.75,6.25,3.75,5,2.5,6.25,3.75,2.5,6.25,5,13.75,0,1.25
,,,,,,,,,,,,,,,,,,,,
N1560,9.45,7.87,3.15,6.3,0.79,10.24,0.79,5.51,1.57,9.45,1.57,1.57,11.81,1.57,7.87,5.51,6.3,3.94,3.15,1.57
,,,,,,,,,,,,,,,,,,,,
N1564,11.22,6.12,3.06,0,2.04,3.06,0,3.06,6.12,10.2,3.06,7.14,4.08,4.08,0,12.24,14.29,5.1,0,5.1
,,,,,,,,,,,,,,,,,,,,
N1567,14.39,1.14,5.68,4.36,2.84,7.2,2.27,4.73,2.46,9.47,2.65,4.73,7.58,3.98,4.36,6.44,3.79,7.58,1.33,3.03
,,,,,,,,,,,,,,,,,,,,
N1577,12.81,1.11,4.18,6.41,2.51,9.19,1.67,8.08,3.34,10.58,1.11,3.9,5.29,2.79,3.9,6.41,5.57,7.24,0.84,3.06
,,,,,,,,,,,,,,,,,,,,
N1584,10.92,2.87,2.87,5.17,3.45,7.47,2.87,2.3,1.72,19.54,1.72,1.15,6.9,9.2,5.75,6.32,4.6,2.87,0.57,1.72
,,,,,,,,,,,,,,,,,,,,
N1588,6.38,1.06,6.38,2.66,2.39,8.24,0.8,6.12,10.11,5.32,1.6,8.24,3.46,1.86,2.39,10.64,9.57,9.57,1.33,1.86
,,,,,,,,,,,,,,,,,,,,
N1596,6.67,17.78,2.22,0,2.22,6.67,0,0,13.33,11.11,0,6.67,4.44,2.22,8.89,8.89,4.44,2.22,0,2.22
,,,,,,,,,,,,,,,,,,,,
N1598,3.85,2.56,4.49,12.82,1.92,6.41,0.64,7.69,5.77,8.33,1.28,7.05,5.13,3.21,4.49,3.85,7.69,5.77,0.64,6.41
,,,,,,,,,,,,,,,,,,,,
N1602,8.46,0.6,7.25,5.44,4.83,5.74,3.02,4.53,6.04,7.55,1.21,5.74,6.04,5.14,3.63,6.04,4.53,6.65,1.51,6.04
,,,,,,,,,,,,,,,,,,,,
N1609,5,0.62,8.75,8.12,6.56,3.12,1.88,6.25,8.44,10,0.94,4.69,2.81,2.81,4.69,8.44,3.44,6.56,1.88,5
,,,,,,,,,,,,,,,,,,,,
N1616,10.34,10.34,3.45,3.45,6.9,10.34,0,3.45,6.9,3.45,1.72,5.17,6.9,1.72,10.34,1.72,5.17,1.72,0,6.9
,,,,,,,,,,,,,,,,,,,,
N1618,12.9,0.81,5.65,5.65,4.03,11.29,2.42,3.23,10.48,4.84,4.03,5.65,6.45,1.61,0.81,1.61,5.65,10.48,0,2.42
,,,,,,,,,,,,,,,,,,,,
N1622,14.01,4.83,2.9,2.42,3.38,13.53,0.97,3.38,2.9,3.38,1.93,4.35,4.83,4.35,1.45,14.49,4.35,7.25,0,5.31
,,,,,,,,,,,,,,,,,,,,
N1627,9.43,1.89,4.72,9.43,3.77,3.77,4.72,4.72,11.32,5.66,2.83,6.6,1.89,2.83,2.83,9.43,0.94,5.66,2.83,4.72
,,,,,,,,,,,,,,,,,,,,
N1630,6.92,0,5.66,8.81,4.4,8.81,2.52,8.18,9.43,6.29,0.63,5.66,5.03,1.26,1.89,6.92,5.66,7.55,0,4.4
,,,,,,,,,,,,,,,,,,,,
N1634,7.27,18.18,1.82,7.27,0,10.91,1.82,1.82,10.91,3.64,0,5.45,1.82,5.45,3.64,5.45,5.45,5.45,0,3.64
,,,,,,,,,,,,,,,,,,,,
N1636,6.46,1.21,6.67,5.86,4.24,7.68,2.22,5.45,6.06,9.49,2.22,6.06,6.06,4.24,3.84,5.05,3.64,6.46,2.22,4.85
,,,,,,,,,,,,,,,,,,,,
N1646,12.98,1.53,2.29,6.87,3.05,11.45,2.29,5.34,12.21,10.69,1.53,2.29,3.82,7.63,2.29,1.53,2.29,6.11,0.76,3.05
,,,,,,,,,,,,,,,,,,,,
N1650,6.76,0.27,9.73,6.22,4.05,6.76,2.43,5.68,9.73,4.32,2.16,7.03,2.7,2.7,2.43,6.49,6.49,4.32,2.7,7.03
,,,,,,,,,,,,,,,,,,,,
N1658,4.66,1.46,7.29,9.62,6.41,4.66,2.62,7.58,8.45,8.16,2.33,6.41,3.21,2.33,4.66,4.37,2.92,4.37,2.33,6.12
,,,,,,,,,,,,,,,,,,,,
N1665,9.64,1.38,7.44,3.58,3.31,9.92,1.93,3.58,5.23,6.34,1.38,7.16,3.03,3.03,3.58,6.89,6.34,5.51,2.75,7.99
,,,,,,,,,,,,,,,,,,,,
N1673,8.78,0.98,6.34,5.37,4.39,3.9,2.44,7.32,3.9,1.95,0.98,9.27,8.29,4.88,2.93,6.83,5.85,8.78,3.41,3.41
,,,,,,,,,,,,,,,,,,,,
N1678,12.32,0.99,2.96,4.93,1.97,10.34,3.94,7.39,3.94,7.88,3.94,3.45,5.91,4.93,4.93,7.39,2.96,7.88,0.49,1.48
,,,,,,,,,,,,,,,,,,,,
N1683,8.45,0.78,6.89,4.85,4.07,7.2,1.88,5.63,5.01,6.42,2.19,7.51,4.23,2.35,3.91,7.36,6.57,7.04,2.03,5.63
,,,,,,,,,,,,,,,,,,,,
N1695,6.69,2.68,6.02,5.69,4.35,7.02,1,6.02,5.02,11.04,0.67,4.68,5.69,4.35,5.02,7.02,5.02,4.01,1.67,6.35
,,,,,,,,,,,,,,,,,,,,
N1701,9.73,1.01,6.71,5.7,6.04,6.04,3.02,4.03,1.68,8.39,1.01,7.38,8.39,2.01,3.02,9.06,6.04,5.37,1.68,3.69
,,,,,,,,,,,,,,,,,,,,
N1707,24.03,1.55,7.75,7.75,3.88,10.85,1.55,2.33,9.3,6.2,3.1,1.55,2.33,1.55,1.55,3.1,5.43,3.88,0.78,1.55
,,,,,,,,,,,,,,,,,,,,
N1711,17.98,2.25,8.99,6.74,3.37,13.48,2.25,6.74,4.49,5.62,1.12,6.74,2.25,4.49,1.12,0,1.12,5.62,2.25,3.37
,,,,,,,,,,,,,,,,,,,,
N1714,15.99,1.7,5.78,4.42,3.74,6.8,3.06,4.42,3.4,13.27,2.04,3.74,5.44,4.42,3.74,6.46,4.76,2.72,1.02,3.06
,,,,,,,,,,,,,,,,,,,,
N1720,6.32,0.57,2.3,4.6,3.45,9.2,2.87,5.17,4.02,6.32,4.02,13.22,2.87,6.9,4.02,4.02,6.32,5.17,2.3,6.32
,,,,,,,,,,,,,,,,,,,,
N1724,11.6,0.63,5.33,1.57,2.51,10.66,2.82,3.13,1.88,9.72,0.31,4.7,3.13,5.33,3.45,8.15,10.97,10.03,0.94,3.13
,,,,,,,,,,,,,,,,,,,,
N1731,4.3,0,6.45,12.9,3.23,6.45,5.38,5.38,9.68,8.6,0,3.23,3.23,2.15,3.23,8.6,7.53,4.3,1.08,4.3
,,,,,,,,,,,,,,,,,,,,
N1734,7.48,0.75,5.23,6.92,3.36,8.04,2.99,6.17,7.29,6.73,1.5,5.61,3.93,2.99,2.99,9.53,5.61,8.6,0.93,3.36
,,,,,,,,,,,,,,,,,,,,
N1744,7.2,4,4,11.2,2.4,10.4,7.2,4.8,8.8,6.4,3.2,2.4,5.6,0,1.6,3.2,3.2,8.8,2.4,3.2
,,,,,,,,,,,,,,,,,,,,
N1748,4.96,0,4.96,10.74,3.31,8.26,3.31,9.09,6.61,5.79,3.31,6.61,2.48,2.48,5.79,3.31,4.96,9.92,0,4.13
,,,,,,,,,,,,,,,,,,,,
N1752,12.03,1.66,4.56,4.56,2.9,10.37,1.66,3.73,6.22,8.71,3.32,3.32,3.32,3.32,3.32,8.3,7.05,7.47,2.9,1.24
,,,,,,,,,,,,,,,,,,,,
N1758,14.04,0.43,4.26,5.53,4.26,10.21,2.98,2.98,3.83,8.94,1.7,2.13,5.96,5.96,4.26,5.11,2.98,8.09,1.28,5.11
,,,,,,,,,,,,,,,,,,,,
N1763,8.59,3.12,15.62,10.94,1.56,6.25,0.78,5.47,2.34,7.03,3.12,5.47,2.34,3.12,2.34,3.91,1.56,8.59,1.56,6.25
,,,,,,,,,,,,,,,,,,,,
N1767,8.09,0.79,7.1,6.51,4.14,6.31,1.78,4.14,8.48,6.51,2.96,4.54,6.11,4.93,3.35,4.93,4.73,7.5,1.78,5.33
,,,,,,,,,,,,,,,,,,,,
