ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
D1226,1.16,0,9.3,6.98,4.65,3.49,4.65,5.81,8.14,8.14,0,4.65,4.65,0,9.3,5.81,8.14,9.3,0,5.81
,,,,,,,,,,,,,,,,,,,,
D1229,10.07,0,7.38,7.38,6.04,4.03,2.68,4.7,6.04,4.03,2.01,6.04,8.05,2.68,10.07,4.03,6.71,2.01,0.67,5.37
,,,,,,,,,,,,,,,,,,,,
D1233,8.51,1.06,6.38,7.45,2.13,3.19,4.26,7.45,7.45,9.57,2.13,3.19,2.13,3.19,9.57,8.51,6.38,5.32,0,2.13
,,,,,,,,,,,,,,,,,,,,
D1236,8.7,1.74,2.61,7.83,3.48,5.22,2.61,4.35,5.22,11.3,4.35,4.35,4.35,5.22,5.22,6.09,8.7,4.35,0.87,3.48
,,,,,,,,,,,,,,,,,,,,
D1239,1.75,1.75,5.26,5.26,0,7.02,0,5.26,14.04,12.28,0,3.51,7.02,8.77,3.51,7.02,3.51,10.53,1.75,1.75
,,,,,,,,,,,,,,,,,,,,
D1241,9.47,0.59,5.33,4.14,5.33,2.37,2.37,6.51,5.92,7.69,0,5.33,2.96,6.51,5.33,10.06,6.51,5.33,1.18,7.1
,,,,,,,,,,,,,,,,,,,,
D1245,7.26,0,6.45,5.65,3.23,2.42,3.23,6.45,11.29,10.48,0.81,3.23,0.81,5.65,3.23,9.68,6.45,9.68,0,4.03
,,,,,,,,,,,,,,,,,,,,
D1249,7.78,0,8.98,4.19,5.39,4.19,2.4,2.4,11.38,10.78,0,6.59,1.2,4.79,3.59,7.19,6.59,7.78,0.6,4.19
,,,,,,,,,,,,,,,,,,,,
D1253,8.33,0.46,6.02,6.02,8.33,4.17,2.31,4.63,10.19,7.41,0,7.41,3.24,3.7,3.24,6.48,5.56,8.8,0.46,3.24
,,,,,,,,,,,,,,,,,,,,
D1258,4.63,0.71,4.63,8.54,4.98,3.56,1.07,4.63,9.25,14.23,2.49,2.85,8.19,3.91,5.69,4.98,5.34,6.76,0,3.56
,,,,,,,,,,,,,,,,,,,,
D1264,7.24,1.97,6.58,5.92,4.61,2.3,2.63,6.25,9.54,9.87,2.3,3.29,5.59,5.26,4.93,6.25,4.61,6.58,0.99,3.29
,,,,,,,,,,,,,,,,,,,,
D1271,5,0.91,10,6.36,6.36,5.45,2.27,6.36,8.18,10,3.18,3.64,1.82,4.55,5.91,9.55,2.73,5,0.45,2.27
,,,,,,,,,,,,,,,,,,,,
D1276,2.97,1.27,8.05,7.63,7.2,8.47,2.54,8.9,7.63,9.75,2.97,2.12,3.81,5.51,2.97,8.47,3.39,5.51,0,0.85
,,,,,,,,,,,,,,,,,,,,
D1281,8.89,2.96,2.22,13.33,2.22,2.22,1.48,7.41,7.41,11.11,0.74,5.19,2.96,8.15,5.93,6.67,3.7,5.93,0.74,0.74
,,,,,,,,,,,,,,,,,,,,
D1285,3.96,0,3.96,9.9,3.96,3.96,1.98,11.88,10.89,6.93,0.99,1.98,2.97,0.99,11.88,7.92,3.96,7.92,0,3.96
,,,,,,,,,,,,,,,,,,,,
D1288,8.33,0.42,6.25,9.17,3.33,5.42,0,10.42,11.25,8.33,2.08,4.58,3.33,1.25,5,4.58,2.5,9.17,0,4.58
,,,,,,,,,,,,,,,,,,,,
D1293,11.24,0,5.62,4.49,4.49,7.87,2.25,2.25,3.37,19.1,0,5.62,5.62,4.49,7.87,2.25,3.37,6.74,1.12,2.25
,,,,,,,,,,,,,,,,,,,,
D1296,6.45,0,4.84,6.45,3.23,4.84,4.03,4.03,4.84,12.9,0.81,2.42,5.65,7.26,6.45,4.03,10.48,6.45,1.61,3.23
,,,,,,,,,,,,,,,,,,,,
D1300,2.5,10,2.5,7.5,10,7.5,5,5,5,5,0,0,7.5,2.5,10,7.5,5,2.5,2.5,2.5
,,,,,,,,,,,,,,,,,,,,
D1302,12.5,0,8.33,11.11,0,0,0,1.39,22.22,8.33,5.56,2.78,0,6.94,5.56,4.17,4.17,6.94,0,0
,,,,,,,,,,,,,,,,,,,,
D1305,7.22,1.9,6.46,8.37,3.8,3.8,1.52,5.7,10.27,9.13,1.52,5.7,3.8,4.94,6.84,3.04,4.56,5.32,1.9,4.18
,,,,,,,,,,,,,,,,,,,,
D1311,1.67,0,1.67,8.33,3.33,3.33,1.67,8.33,11.67,8.33,1.67,11.67,1.67,1.67,11.67,6.67,8.33,3.33,3.33,1.67
,,,,,,,,,,,,,,,,,,,,
D1313,11.28,0,8.21,8.72,3.08,5.13,2.05,7.18,6.67,13.33,2.05,4.1,3.08,3.08,3.59,4.1,4.62,4.1,1.54,4.1
,,,,,,,,,,,,,,,,,,,,
D1318,13.85,0,6.15,7.69,1.54,3.08,1.54,6.15,10.77,9.23,3.08,1.54,1.54,0,10.77,3.08,4.62,9.23,3.08,3.08
,,,,,,,,,,,,,,,,,,,,
D1321,11.31,0.6,8.33,4.76,5.95,5.36,5.95,8.93,5.36,5.95,1.79,1.19,2.98,2.98,6.55,5.36,8.93,2.98,1.79,2.98
,,,,,,,,,,,,,,,,,,,,
D1325,7.14,7.14,10.71,7.14,7.14,3.57,7.14,10.71,10.71,0,0,0,3.57,3.57,17.86,3.57,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
D1327,12.64,0,2.3,11.49,2.3,6.9,0,5.75,8.05,11.49,3.45,5.75,2.3,4.6,3.45,8.05,1.15,5.75,0,4.6
,,,,,,,,,,,,,,,,,,,,
D1330,11.05,3.16,3.68,5.79,3.68,7.37,3.16,4.74,3.16,11.05,1.58,2.63,5.79,6.32,5.79,6.84,3.16,5.26,2.63,3.16
,,,,,,,,,,,,,,,,,,,,
D1335,7.09,1.57,4.72,6.3,3.15,5.51,4.72,0.79,2.36,11.81,0,0,5.51,9.45,7.87,9.45,6.3,7.09,3.94,2.36
,,,,,,,,,,,,,,,,,,,,
D1339,9.68,0,3.23,8.06,1.61,1.61,0,4.84,6.45,11.29,1.61,8.06,3.23,3.23,17.74,6.45,8.06,3.23,0,1.61
,,,,,,,,,,,,,,,,,,,,
D1342,3.63,1.32,7.59,5.61,5.28,4.62,2.97,5.61,7.26,8.25,0.99,4.29,6.27,3.96,5.94,8.25,5.61,7.59,0.33,4.62
,,,,,,,,,,,,,,,,,,,,
D1349,11.81,0.42,4.22,7.38,2.11,6.96,2.32,4.43,7.38,11.18,2.11,2.32,3.59,4.64,7.59,7.59,4.01,5.06,2.74,2.11
,,,,,,,,,,,,,,,,,,,,
D1358,6.52,0,6.52,17.39,2.17,2.17,0,8.7,6.52,6.52,0,8.7,0,6.52,4.35,4.35,4.35,10.87,2.17,2.17
,,,,,,,,,,,,,,,,,,,,
D1360,8,0,10,8,2,6,0,6,4,14,2,2,0,0,8,8,8,8,0,6
,,,,,,,,,,,,,,,,,,,,
D1362,5.08,3.39,10.17,10.17,1.69,5.08,0,3.39,8.47,8.47,1.69,5.08,1.69,3.39,5.08,3.39,6.78,8.47,3.39,5.08
,,,,,,,,,,,,,,,,,,,,
D1364,2.99,4.48,10.45,1.49,2.99,5.97,1.49,4.48,8.96,4.48,0,7.46,0,5.97,2.99,13.43,7.46,11.94,1.49,1.49
,,,,,,,,,,,,,,,,,,,,
D1367,13.68,1.05,4.21,3.16,5.26,5.26,1.05,8.42,9.47,7.37,2.11,3.16,3.16,2.11,7.37,5.26,8.42,7.37,0,2.11
,,,,,,,,,,,,,,,,,,,,
D1370,4.43,4.43,6.33,4.43,3.8,5.06,4.43,4.43,8.86,5.7,1.27,6.33,5.7,4.43,9.49,7.59,3.8,4.43,3.16,1.9
,,,,,,,,,,,,,,,,,,,,
D1374,4.9,2.86,2.86,7.35,5.31,7.76,3.27,3.27,6.12,11.02,2.04,4.49,7.35,4.9,4.9,5.31,3.27,9.39,1.63,2.04
,,,,,,,,,,,,,,,,,,,,
D1380,3.81,7.62,6.67,2.86,5.71,2.86,2.86,3.81,14.29,8.57,1.9,6.67,5.71,2.86,4.76,1.9,8.57,5.71,0.95,1.9
,,,,,,,,,,,,,,,,,,,,
D1383,12.29,0,6.83,8.19,2.05,7.85,2.73,5.12,6.83,8.87,1.37,2.39,1.02,6.14,8.87,6.14,4.78,4.1,1.37,3.07
,,,,,,,,,,,,,,,,,,,,
D1389,3.17,3.97,3.17,8.73,2.38,4.76,4.76,3.97,11.9,10.32,1.59,3.97,4.76,4.76,6.35,3.17,5.56,7.14,3.17,2.38
,,,,,,,,,,,,,,,,,,,,
D1393,0.97,0.97,4.85,7.77,4.85,4.85,2.91,4.85,7.77,3.88,3.88,4.85,5.83,8.74,4.85,4.85,8.74,9.71,0.97,3.88
,,,,,,,,,,,,,,,,,,,,
D1396,5.46,1.09,2.19,7.65,1.64,7.65,4.92,7.65,6.01,7.65,1.09,3.83,6.56,3.83,7.65,7.65,7.1,7.1,0.55,2.73
,,,,,,,,,,,,,,,,,,,,
D1401,4.07,2.44,1.63,7.32,1.63,9.76,0.81,11.38,4.07,5.69,1.63,4.88,6.5,3.25,12.2,9.76,2.44,8.13,0.81,1.63
,,,,,,,,,,,,,,,,,,,,
D1405,13.7,0,6.85,10.96,1.37,5.48,0,2.74,15.07,5.48,2.74,4.11,4.11,0,8.22,6.85,1.37,4.11,4.11,2.74
,,,,,,,,,,,,,,,,,,,,
D1408,14.62,0,4.62,10.77,2.31,10.77,0.77,0,3.08,16.92,1.54,1.54,9.23,0,9.23,3.08,2.31,3.85,3.08,2.31
,,,,,,,,,,,,,,,,,,,,
D1412,6.3,0.79,6.3,6.3,3.15,2.36,3.94,9.45,5.51,6.3,3.94,4.72,4.72,3.15,3.15,6.3,8.66,12.6,0.79,1.57
,,,,,,,,,,,,,,,,,,,,
D1416,4.39,1.75,7.02,7.89,6.14,8.77,2.63,8.77,6.14,8.77,4.39,2.63,6.14,2.63,3.51,4.39,4.39,7.02,0,2.63
,,,,,,,,,,,,,,,,,,,,
D1419,1.76,1.18,7.06,4.12,4.12,5.29,1.76,5.88,7.06,13.53,1.18,4.71,4.71,8.82,4.12,8.24,7.65,4.12,2.35,2.35
,,,,,,,,,,,,,,,,,,,,
D1423,7.52,0.75,5.26,9.02,5.26,5.26,3.76,6.02,3.76,11.28,2.26,0.75,6.77,1.5,12.78,3.01,5.26,6.77,0.75,2.26
,,,,,,,,,,,,,,,,,,,,
D1427,7.89,0,8.77,12.28,4.39,5.26,0.88,7.02,8.77,9.65,0,3.51,3.51,3.51,7.02,0.88,7.89,7.89,0.88,0
,,,,,,,,,,,,,,,,,,,,
D1430,5.93,0,6.78,10.17,3.39,1.69,0.85,6.78,10.17,11.86,3.39,0.85,3.39,5.08,5.08,7.63,4.24,3.39,0,9.32
,,,,,,,,,,,,,,,,,,,,
D1433,5.1,0.64,3.82,9.55,5.1,3.82,1.91,12.1,6.37,6.37,1.91,4.46,5.1,3.82,3.82,7.01,7.01,5.1,0,7.01
,,,,,,,,,,,,,,,,,,,,
D1437,7.75,0.78,6.2,7.75,6.2,6.2,3.1,7.75,6.2,7.75,0.78,1.55,5.43,4.65,5.43,9.3,2.33,4.65,0.78,5.43
,,,,,,,,,,,,,,,,,,,,
D1441,0.97,1.94,3.88,5.83,5.83,2.91,0.97,8.74,5.83,6.8,2.91,3.88,4.85,6.8,12.62,7.77,6.8,3.88,0.97,5.83
,,,,,,,,,,,,,,,,,,,,
D1444,3.64,0,3.64,9.09,3.64,1.82,1.82,1.82,3.64,9.09,1.82,3.64,9.09,3.64,18.18,5.45,3.64,9.09,3.64,3.64
,,,,,,,,,,,,,,,,,,,,
D1446,7.87,0.79,4.72,11.81,3.94,7.09,3.15,1.57,4.72,11.02,0.79,0.79,6.3,4.72,5.51,4.72,3.15,11.02,3.15,3.15
,,,,,,,,,,,,,,,,,,,,
D1450,6.67,0.95,7.62,12.38,6.67,4.76,1.9,8.57,9.52,9.52,0,4.76,2.86,0.95,6.67,0.95,3.81,7.62,0,3.81
,,,,,,,,,,,,,,,,,,,,
D1453,10.14,0,6.91,9.22,4.15,7.83,0.46,7.37,7.83,7.83,1.84,2.3,4.61,3.23,5.99,5.99,2.76,6.45,0.46,4.61
,,,,,,,,,,,,,,,,,,,,
D1458,11.25,1.25,2.5,7.5,1.25,6.25,6.25,10,11.25,10,1.25,3.75,2.5,2.5,3.75,6.25,3.75,3.75,1.25,3.75
,,,,,,,,,,,,,,,,,,,,
D1461,7.02,0,3.51,7.02,5.26,7.02,1.75,5.26,3.51,10.53,1.75,1.75,1.75,10.53,3.51,12.28,7.02,3.51,3.51,3.51
,,,,,,,,,,,,,,,,,,,,
D1463,7.37,3.16,4.74,6.32,3.68,8.95,3.16,2.63,3.68,10.53,1.58,2.11,5.26,4.21,10.53,6.32,5.79,6.84,0.53,2.63
,,,,,,,,,,,,,,,,,,,,
D1468,7.95,0,3.41,4.55,2.27,10.23,2.27,6.82,9.09,7.95,1.14,2.27,1.14,2.27,14.77,1.14,7.95,10.23,0,4.55
,,,,,,,,,,,,,,,,,,,,
D1471,4.2,0.76,8.4,5.73,3.82,6.11,2.29,8.02,9.92,10.31,0.76,3.82,3.05,3.82,5.73,8.02,6.49,4.58,0.76,3.44
,,,,,,,,,,,,,,,,,,,,
D1477,2.86,2.86,4.29,4.29,2.86,0,0,5.71,15.71,10,1.43,12.86,4.29,4.29,1.43,7.14,7.14,7.14,1.43,4.29
,,,,,,,,,,,,,,,,,,,,
D1480,5.41,1.35,5.41,8.11,1.35,2.7,1.35,4.05,8.11,9.46,2.7,4.05,1.35,10.81,14.86,10.81,2.7,4.05,0,1.35
,,,,,,,,,,,,,,,,,,,,
D1483,4.1,0.41,5.74,6.56,4.1,6.15,2.05,10.66,9.43,5.74,0,8.2,3.69,2.46,4.51,6.15,6.15,4.1,1.64,8.2
,,,,,,,,,,,,,,,,,,,,
D1489,1.74,4.35,3.48,6.96,4.35,3.48,3.48,5.22,8.7,10.43,4.35,5.22,4.35,3.48,6.96,9.57,3.48,7.83,0,2.61
,,,,,,,,,,,,,,,,,,,,
D1492,3.92,1.96,5.88,3.92,0,3.92,3.92,3.92,5.88,11.76,3.92,1.96,3.92,1.96,11.76,15.69,3.92,7.84,0,3.92
,,,,,,,,,,,,,,,,,,,,
D1494,3.41,0,4.55,11.36,2.27,5.68,3.41,11.36,11.36,14.77,0,2.27,4.55,3.41,2.27,6.82,4.55,3.41,1.14,3.41
,,,,,,,,,,,,,,,,,,,,
D1497,5.88,0.98,7.84,9.8,4.41,6.86,2.94,3.43,5.88,11.76,3.43,3.92,2.94,1.47,3.92,5.39,4.41,6.86,1.96,5.88
,,,,,,,,,,,,,,,,,,,,
D1502,9.72,1.62,4.86,8.7,3.04,9.11,3.44,5.87,7.89,7.49,1.42,2.83,4.86,4.45,5.87,2.63,4.66,6.07,2.83,2.63
,,,,,,,,,,,,,,,,,,,,
D1512,4.2,1.68,5.04,8.4,5.88,7.56,3.36,2.52,3.36,5.04,1.68,3.36,6.72,2.52,5.88,10.08,6.72,11.76,1.68,2.52
,,,,,,,,,,,,,,,,,,,,
D1515,6.49,2.7,7.57,4.32,4.86,5.95,1.62,7.57,11.35,5.41,1.62,3.24,3.78,7.57,4.32,8.11,3.78,3.78,0.54,5.41
,,,,,,,,,,,,,,,,,,,,
D1520,8.07,3.11,6.21,4.35,4.35,4.97,4.97,7.45,4.97,8.7,0.62,3.73,1.24,5.59,5.59,7.45,6.21,8.07,1.24,3.11
,,,,,,,,,,,,,,,,,,,,
D1524,0.95,0.95,4.76,6.67,2.86,12.38,5.71,5.71,11.43,5.71,1.9,6.67,0.95,4.76,3.81,4.76,5.71,7.62,1.9,4.76
,,,,,,,,,,,,,,,,,,,,
D1527,4.35,2.9,2.9,5.8,1.45,8.7,4.35,10.14,14.49,7.25,0,4.35,4.35,4.35,4.35,4.35,5.8,5.8,0,4.35
,,,,,,,,,,,,,,,,,,,,
D1530,16.47,0.59,7.65,9.41,4.12,4.71,1.76,2.35,7.06,10.59,2.35,1.76,4.71,1.76,5.88,1.76,2.35,10.59,1.76,2.35
,,,,,,,,,,,,,,,,,,,,
D1534,7.35,0.25,4.66,10.05,3.43,4.17,2.21,6.62,6.37,11.52,2.7,3.92,3.68,5.88,6.86,4.66,4.9,6.62,0.49,3.68
,,,,,,,,,,,,,,,,,,,,
D1542,12,2,4,4,0,2,0,8,8,8,0,8,2,2,18,12,4,6,0,0
,,,,,,,,,,,,,,,,,,,,
D1544,7.14,7.14,3.57,0,3.57,7.14,14.29,3.57,10.71,3.57,7.14,3.57,7.14,0,7.14,3.57,10.71,0,0,0
,,,,,,,,,,,,,,,,,,,,
